# year, Ptot_c_result_anom
1987.2849315068493,-0.87322664
1987.3698630136987,-1.8800526
1987.4520547945206,-1.4645705
1987.5369863013698,1.1795483
1987.6219178082192,-2.2976818
1987.704109589041,-0.422884
1987.7890410958903,-1.9491673
1987.8712328767124,0.7184448
1987.9561643835616,3.7154198
1988.0409836065573,2.314435
1988.122950819672,-0.44554234
1988.204918032787,-0.581486
1988.2868852459017,-0.33533406
1988.3715846994535,-1.3135691
1988.4535519125684,-4.7264266
1988.5382513661202,-4.7422504
1988.622950819672,-3.4576874
1988.704918032787,-4.765091
1988.7896174863388,-3.0588093
1988.8715846994535,1.3927994
1988.9562841530055,2.7437477
1989.041095890411,2.0108004
1989.1205479452055,-0.36254644
1989.2027397260274,-0.6759596
1989.2849315068493,-0.6137533
1989.3698630136987,-1.3889577
1989.4520547945206,-2.9268694
1989.5369863013698,-0.6152401
1989.6219178082192,-1.3401852
1989.704109589041,-5.171377
1989.7890410958903,-6.6767864
1989.8712328767124,0.39387894
1989.9561643835616,6.040779
1990.041095890411,5.01433
1990.1205479452055,3.9639063
1990.2027397260274,1.7734933
1990.2849315068493,0.5543108
1990.3698630136987,-1.7009602
1990.4520547945206,-4.885616
1990.5369863013698,-5.373189
1990.6219178082192,-5.163046
1990.704109589041,-8.595009
1990.7890410958903,-8.782997
1990.8712328767124,-1.5308933
1990.9561643835616,-1.9209623
1991.041095890411,-1.0859509
1991.1205479452055,-1.1614604
1991.2027397260274,-0.44244933
1991.2849315068493,-0.59123707
1991.3698630136987,-1.8100357
1991.4520547945206,-4.068616
1991.5369863013698,-2.0704298
1991.6219178082192,0.8197117
1991.704109589041,-2.1325588
1991.7890410958903,-7.0175285
1991.8712328767124,-7.8608265
1991.9561643835616,-2.696576
1992.0409836065573,-1.5648108
1992.122950819672,-1.3410006
1992.204918032787,-0.9426074
1992.2868852459017,-0.79314375
1992.3715846994535,-0.6074014
1992.4535519125684,0.33827972
1992.5382513661202,-0.10451889
1992.622950819672,-0.13354874
1992.704918032787,-2.5976048
1992.7896174863388,-4.1689854
1992.8715846994535,-3.1405926
1992.9562841530055,-0.78876877
1993.041095890411,-0.084607124
1993.1205479452055,-0.77894306
1993.2027397260274,-0.60261536
1993.2849315068493,-0.386374
1993.3698630136987,-1.6077831
1993.4520547945206,-4.422484
1993.5369863013698,-4.5592575
1993.6219178082192,-5.7472734
1993.704109589041,-8.392378
1993.7890410958903,-9.226229
1993.8712328767124,-7.0949097
1993.9561643835616,-6.141982
1994.041095890411,-3.2795725
1994.1205479452055,-1.9121127
1994.2027397260274,-0.8111093
1994.2849315068493,-0.48187757
1994.3698630136987,-0.3749895
1994.4520547945206,-2.6453495
1994.5369863013698,-3.689848
1994.6219178082192,1.5229149
1994.704109589041,4.32638
1994.7890410958903,0.91671944
1994.8712328767124,-0.50356865
1994.9561643835616,-0.7534094
1995.041095890411,1.5328054
1995.1205479452055,0.4798274
1995.2027397260274,-0.82121944
1995.2849315068493,-0.91358733
1995.3698630136987,-1.4109693
1995.4520547945206,-3.9556293
1995.5369863013698,-2.3088827
1995.6219178082192,1.8213367
1995.704109589041,-0.73363304
1995.7890410958903,-7.2203846
1995.8712328767124,-4.1415462
1995.9561643835616,1.3011761
1996.0409836065573,-0.3227024
1996.122950819672,-1.275342
1996.204918032787,-0.7467499
1996.2868852459017,-0.6608896
1996.3715846994535,-1.3774505
1996.4535519125684,-4.5845265
1996.5382513661202,-7.40483
1996.622950819672,-8.251727
1996.704918032787,-10.908293
1996.7896174863388,-16.17202
1996.8715846994535,-10.546581
1996.9562841530055,-8.452406
1997.041095890411,-4.2205343
1997.1205479452055,-2.7981124
1997.2027397260274,-1.0289617
1997.2849315068493,0.530282
1997.3698630136987,-0.35290956
1997.4520547945206,-4.2137613
1997.5369863013698,-6.625965
1997.6219178082192,-10.674541
1997.704109589041,-15.549953
1997.7890410958903,-7.388794
1997.8712328767124,-3.1190453
1997.9561643835616,-4.1565094
1998.041095890411,-2.7218313
1998.1205479452055,-2.155817
1998.2027397260274,-1.2373292
1998.2849315068493,-0.6313274
1998.3698630136987,-1.2978585
1998.4520547945206,-3.4454756
1998.5369863013698,-0.12557793
1998.6219178082192,0.64326096
1998.704109589041,1.0690079
1998.7890410958903,-5.2663765
1998.8712328767124,-13.333072
1998.9561643835616,-9.871164
1999.041095890411,-5.3146024
1999.1205479452055,-3.332605
1999.2027397260274,-2.0245075
1999.2849315068493,-0.6270828
1999.3698630136987,-0.72392845
1999.4520547945206,-3.9629383
1999.5369863013698,-7.077319
1999.6219178082192,-10.142182
1999.704109589041,-6.545418
1999.7890410958903,-7.873806
1999.8712328767124,-9.500578
1999.9561643835616,-8.345362
2000.0409836065573,-4.300168
2000.122950819672,-2.7975612
2000.204918032787,-1.6280797
2000.2868852459017,-0.37200737
2000.3715846994535,0.4742694
2000.4535519125684,-2.4570627
2000.5382513661202,-3.084814
2000.622950819672,-5.1996326
2000.704918032787,-6.4622707
2000.7896174863388,-11.527294
2000.8715846994535,-6.62834
2000.9562841530055,-3.143672
2001.041095890411,-0.85961723
2001.1205479452055,-0.9265728
2001.2027397260274,-0.37828827
2001.2849315068493,0.20480108
2001.3698630136987,-0.2981949
2001.4520547945206,-2.6541228
2001.5369863013698,-2.6738548
2001.6219178082192,-4.476858
2001.704109589041,-7.624254
2001.7890410958903,-7.2135944
2001.8712328767124,-5.631233
2001.9561643835616,-6.3554163
2002.041095890411,-3.3987184
2002.1205479452055,-2.3800259
2002.2027397260274,-1.5641358
2002.2849315068493,-0.5882294
2002.3698630136987,-1.132637
2002.4520547945206,-4.489405
2002.5369863013698,-6.402891
2002.6219178082192,-8.762236
2002.704109589041,-12.187008
2002.7890410958903,-7.072735
2002.8712328767124,-1.7471466
2002.9561643835616,-2.141489
2003.041095890411,1.0364399
2003.1205479452055,0.20942688
2003.2027397260274,-0.037050724
2003.2849315068493,0.12581325
2003.3698630136987,-0.77361584
2003.4520547945206,-2.6861405
2003.5369863013698,-5.133353
2003.6219178082192,-6.491194
2003.704109589041,-5.3136444
2003.7890410958903,-7.166216
2003.8712328767124,-12.269419
2003.9561643835616,-9.429169
2004.0409836065573,-5.3366685
2004.122950819672,-3.4185271
2004.204918032787,-1.9427226
2004.2868852459017,-0.009834766
2004.3715846994535,0.38781023
2004.4535519125684,0.5576439
2004.5382513661202,0.5350847
2004.622950819672,-7.849533
2004.704918032787,-12.821374
2004.7896174863388,-19.319954
2004.8715846994535,-16.814995
2004.9562841530055,-10.30357
2005.041095890411,-5.4597816
2005.1205479452055,-3.38449
2005.2027397260274,-1.7872648
2005.2849315068493,0.4217496
2005.3698630136987,0.08751583
2005.4520547945206,-4.079912
2005.5369863013698,-3.7419376
2005.6219178082192,-3.6976871
2005.704109589041,-6.6367874
2005.7890410958903,-4.93141
2005.8712328767124,-2.2403564
2005.9561643835616,-6.070875
2006.041095890411,-3.897058
2006.1205479452055,-2.600947
2006.2027397260274,-1.608818
2006.2849315068493,-0.42583156
2006.3698630136987,-0.24359465
2006.4520547945206,-2.7688398
2006.5369863013698,-2.2500753
2006.6219178082192,-6.6821823
2006.704109589041,-6.114767
2006.7890410958903,-5.803488
2006.8712328767124,-1.7299461
2006.9561643835616,-2.3518066
2007.041095890411,-2.0725322
2007.1205479452055,-1.5262012
2007.2027397260274,-0.77964234
2007.2849315068493,-0.42915654
2007.3698630136987,-1.1406622
2007.4520547945206,-0.54221344
2007.5369863013698,1.4152956
2007.6219178082192,-2.4869137
2007.704109589041,-5.9639854
2007.7890410958903,-4.5286293
2007.8712328767124,-3.216753
2007.9561643835616,-2.1426754
2008.0409836065573,-1.7695813
2008.122950819672,-1.4995685
2008.204918032787,-0.9947715
2008.2868852459017,-0.44575357
2008.3715846994535,-0.6032858
2008.4535519125684,-1.2357025
2008.5382513661202,-2.4264545
2008.622950819672,-9.406548
2008.704918032787,-7.2870445
2008.7896174863388,-7.704769
2008.8715846994535,-9.064265
2008.9562841530055,-6.9245825
2009.041095890411,-2.7555523
2009.1205479452055,-1.7684426
2009.2027397260274,-1.1679726
2009.2849315068493,-0.8813665
2009.3698630136987,-0.8370898
2009.4520547945206,-2.8105302
2009.5369863013698,-3.450613
2009.6219178082192,-3.1461716
2009.704109589041,-3.2554913
2009.7890410958903,-6.70767
2009.8712328767124,-7.103382
2009.9561643835616,-4.1433926
2010.041095890411,-2.866531
2010.1205479452055,-2.4202647
2010.2027397260274,-1.0256944
2010.2849315068493,-0.13967562
2010.3698630136987,-0.43828297
2010.4520547945206,-3.0181494
2010.5369863013698,-1.2084188
2010.6219178082192,-0.530283
2010.704109589041,-5.8385506
2010.7890410958903,-7.0996876
2010.8712328767124,-9.38327
2010.9561643835616,-8.045109
2011.041095890411,-4.329231
2011.1205479452055,-2.5249119
2011.2027397260274,-1.3013926
2011.2849315068493,-0.08166194
2011.3698630136987,-0.73161125
2011.4520547945206,-2.6679683
2011.5369863013698,-2.8484192
2011.6219178082192,-4.3121204
2011.704109589041,-7.272213
2011.7890410958903,-10.7944355
2011.8712328767124,-12.637159
2011.9561643835616,-9.8190155
