# year, thetao_con
2045.8794520547945,26.328045
2045.8821917808218,26.31084
2045.8849315068494,26.384727
2045.8876712328768,26.487492
2045.890410958904,26.563824
2045.8931506849315,26.610207
2045.8958904109588,26.560587
2045.8986301369864,26.539331
2045.9013698630138,26.593199
2045.9041095890411,26.618366
2045.9068493150685,26.730633
2045.9095890410958,26.700193
2045.9123287671232,26.735237
2045.9150684931508,26.767399
2045.9178082191781,26.786518
2045.9205479452055,26.80982
2045.9232876712329,26.896833
2045.9260273972602,26.994751
2045.9287671232876,26.96578
2045.9315068493152,27.137962
2045.9342465753425,27.126432
2045.9369863013699,27.166998
2045.9397260273972,27.138216
2045.9424657534246,27.178738
2045.945205479452,27.187683
2045.9479452054795,27.1842
2045.9506849315069,27.181322
2045.9534246575342,27.249594
2045.9561643835616,27.30198
2045.958904109589,27.338251
2045.9616438356165,27.346796
2045.964383561644,27.365257
2045.9671232876713,27.365139
2045.9698630136986,27.34971
2045.972602739726,27.37465
2045.9753424657533,27.374235
2045.978082191781,27.423136
2045.9808219178083,27.424324
2045.9835616438356,27.420506
2045.986301369863,27.46609
2045.9890410958903,27.446915
2045.9917808219177,27.426998
2045.9945205479453,27.561842
2045.9972602739726,27.63878
2046.0,27.700037
2046.0027397260274,27.720367
2046.0054794520547,27.72171
2046.0082191780823,27.66139
2046.0109589041097,27.613197
2046.013698630137,27.605402
2046.0164383561644,27.681442
2046.0191780821917,27.644773
2046.021917808219,27.766396
2046.0246575342467,27.836771
2046.027397260274,27.836264
2046.0301369863014,27.857277
2046.0328767123287,27.848583
2046.035616438356,28.030602
2046.0383561643835,28.053156
2046.041095890411,28.145418
2046.0438356164384,28.149174
2046.0465753424658,28.122025
2046.0493150684931,28.16667
2046.0520547945205,28.137905
2046.054794520548,28.18024
2046.0575342465754,28.208658
2046.0602739726028,28.224245
2046.0630136986301,28.234423
2046.0657534246575,28.379276
2046.0684931506848,28.329304
2046.0712328767124,28.32327
2046.0739726027398,28.355824
2046.0767123287671,28.461739
2046.0794520547945,28.496462
2046.0821917808219,28.521688
2046.0849315068492,28.601173
2046.0876712328768,28.710783
2046.0904109589042,28.729944
2046.0931506849315,28.770788
2046.0958904109589,28.752285
2046.0986301369862,28.90398
2046.1013698630136,29.051136
2046.1041095890412,29.04832
2046.1068493150685,29.08
2046.109589041096,29.350412
2046.1123287671232,29.297638
2046.1150684931506,29.451853
2046.1178082191782,29.684238
2046.1205479452055,29.446808
2046.123287671233,29.312016
2046.1260273972603,29.286528
2046.1287671232876,29.44217
2046.131506849315,29.5451
2046.1342465753426,29.521738
2046.13698630137,29.53312
2046.1397260273973,29.564827
2046.1424657534246,29.398436
2046.145205479452,29.404852
2046.1479452054793,29.479433
2046.150684931507,29.354885
2046.1534246575343,29.470898
2046.1561643835616,29.620451
2046.158904109589,29.64124
2046.1616438356164,29.488977
2046.164383561644,29.434887
2046.1671232876713,29.340046
2046.1698630136987,29.494745
2046.172602739726,29.664646
2046.1753424657534,29.754236
2046.1780821917807,29.674881
2046.1808219178083,29.718248
2046.1835616438357,29.685484
2046.186301369863,29.63713
2046.1890410958904,29.74568
2046.1917808219177,29.920456
2046.194520547945,30.033682
2046.1972602739727,29.93092
2046.2,29.78689
2046.2027397260274,29.898596
2046.2054794520548,29.889542
2046.2082191780821,29.99159
2046.2109589041097,29.794266
2046.213698630137,29.7201
2046.2164383561644,29.755686
2046.2191780821918,29.884588
2046.2219178082191,29.989916
2046.2246575342465,29.843164
2046.227397260274,29.849756
2046.2301369863014,29.775694
2046.2328767123288,29.7936
2046.2356164383561,29.94403
2046.2383561643835,30.145302
2046.2410958904109,30.204325
2046.2438356164384,30.057972
2046.2465753424658,30.02576
2046.2493150684932,29.993507
2046.2520547945205,29.951967
2046.2547945205479,30.1055
2046.2575342465752,30.162722
2046.2602739726028,29.944475
2046.2630136986302,30.055132
2046.2657534246575,30.006733
2046.268493150685,29.90154
2046.2712328767122,30.009064
2046.2739726027398,30.066639
2046.2767123287672,29.896034
2046.2794520547945,29.687586
2046.282191780822,29.519938
2046.2849315068493,29.37823
2046.2876712328766,29.299927
2046.2904109589042,29.272427
2046.2931506849316,29.190226
2046.295890410959,29.159138
2046.2986301369863,29.189495
