# year, O3_TA_anom
1982.668493150685,16.038574
1982.6712328767123,15.9279785
1982.6739726027397,15.759277
1982.676712328767,15.664795
1982.6794520547944,15.505615
1982.682191780822,15.445557
1982.6849315068494,15.409424
1982.6876712328767,15.354004
1982.690410958904,15.21582
1982.6931506849314,15.031738
1982.695890410959,14.825928
1982.6986301369864,14.675049
1982.7013698630137,14.638916
1982.704109589041,14.491943
1982.7068493150684,14.369629
1982.7095890410958,14.391357
1982.7123287671234,14.274414
1982.7150684931507,14.085693
1982.717808219178,14.036133
1982.7205479452055,13.985596
1982.7232876712328,13.781494
1982.7260273972602,13.596924
1982.7287671232878,13.589355
1982.731506849315,13.545654
1982.7342465753425,13.468262
1982.7369863013698,13.480469
1982.7397260273972,13.628174
1982.7424657534248,13.580566
1982.7452054794521,13.536865
1982.7479452054795,14.482178
1982.7506849315068,14.47583
1982.7534246575342,14.387451
1982.7561643835616,14.29248
1982.7589041095891,14.336914
1982.7616438356165,14.319824
1982.7643835616439,14.315186
1982.7671232876712,14.384277
1982.7698630136986,14.317871
1982.772602739726,14.462891
1982.7753424657535,14.664795
1982.7780821917809,14.769531
1982.7808219178082,14.89209
1982.7835616438356,14.912598
1982.786301369863,14.804932
1982.7890410958903,14.816895
1982.7917808219179,14.801514
1982.7945205479452,14.76709
1982.7972602739726,14.687012
1982.8,14.652588
1982.8027397260273,14.773682
1982.805479452055,14.778076
1982.8082191780823,14.653564
1982.8109589041096,14.532959
1982.813698630137,14.429443
1982.8164383561643,14.442383
1982.8191780821917,14.447998
1982.8219178082193,14.457764
1982.8246575342466,14.501221
1982.827397260274,14.541016
1982.8301369863013,14.780518
1982.8328767123287,15.065674
1982.835616438356,15.16748
1982.8383561643836,15.23999
1982.841095890411,15.458496
1982.8438356164384,15.7126465
1982.8465753424657,15.819824
1982.849315068493,15.981445
1982.8520547945207,16.33252
1982.854794520548,16.641113
1982.8575342465754,16.905518
1982.8602739726027,17.169678
1982.86301369863,17.314453
1982.8657534246574,17.654785
1982.868493150685,17.99707
1982.8712328767124,18.317871
1982.8739726027397,18.661621
1982.876712328767,18.921387
1982.8794520547945,19.474121
1982.8821917808218,19.903809
1982.8849315068494,19.841309
1982.8876712328768,19.52246
1982.890410958904,19.587158
1982.8931506849315,19.933594
1982.8958904109588,19.83667
1982.8986301369864,19.4458
1982.9013698630138,19.946045
1982.9041095890411,20.446777
