# year, so_abs_clim
0.8797814207650273,36.138546
0.8825136612021858,36.13475
0.8852459016393442,36.13259
0.8879781420765027,36.13113
0.8907103825136612,36.125706
0.8934426229508197,36.122696
0.8961748633879781,36.123417
0.8989071038251366,36.117634
0.9016393442622951,36.112553
0.9043715846994536,36.11248
0.907103825136612,36.112633
0.9098360655737705,36.108814
0.912568306010929,36.10004
0.9153005464480874,36.096592
0.9180327868852459,36.09941
0.9207650273224044,36.095917
0.9234972677595629,36.08773
0.9262295081967213,36.078598
0.9289617486338798,36.07608
0.9316939890710383,36.07597
0.9344262295081968,36.066147
0.9371584699453552,36.056664
0.9398907103825137,36.052807
0.9426229508196722,36.04817
0.9453551912568307,36.04699
0.9480874316939891,36.041607
0.9508196721311475,36.043392
0.953551912568306,36.035522
0.9562841530054644,36.03597
0.9590163934426229,36.032906
0.9617486338797814,36.02807
0.9644808743169399,36.03065
0.9672131147540983,36.02769
0.9699453551912568,36.020973
0.9726775956284153,36.01878
0.9754098360655737,36.018463
0.9781420765027322,36.01115
0.9808743169398907,36.00289
0.9836065573770492,36.001476
0.9863387978142076,36.00351
0.9890710382513661,36.004402
0.9918032786885246,36.003113
0.994535519125683,36.000397
0.9972677595628415,36.000923
1.0,36.011906
1.0027322404371584,36.032063
1.005464480874317,36.025116
1.0081967213114753,36.03079
1.010928961748634,36.042564
1.0136612021857923,36.0466
1.0163934426229508,36.048748
1.0191256830601092,36.048035
1.0218579234972678,36.046703
1.0245901639344261,36.042664
1.0273224043715847,36.04724
1.030054644808743,36.053284
1.0327868852459017,36.053085
1.03551912568306,36.042564
1.0382513661202186,36.046944
1.040983606557377,36.04574
1.0437158469945356,36.04789
1.046448087431694,36.04389
1.0491803278688525,36.02955
1.0519125683060109,36.04732
1.0546448087431695,36.054382
1.0573770491803278,36.05082
1.0601092896174864,36.050957
1.0628415300546448,36.056377
1.0655737704918034,36.05453
1.0683060109289617,36.05246
1.0710382513661203,36.04618
1.0737704918032787,36.04389
1.0765027322404372,36.04267
1.0792349726775956,36.042645
1.0819672131147542,36.04603
1.0846994535519126,36.04865
1.0874316939890711,36.064987
1.0901639344262295,36.057037
1.092896174863388,36.056366
1.0956284153005464,36.05258
1.098360655737705,36.055115
1.1010928961748634,36.055786
