# year, Ztot_c_result_anom
1983.3698630136987,-0.13017648
1983.4520547945206,-0.47505438
1983.5369863013698,-0.5346284
1983.6219178082192,1.9805489
1983.704109589041,4.9785585
1983.7890410958903,4.0955124
1983.8712328767124,6.157234
1983.9561643835616,7.5267115
1984.0409836065573,5.8392954
1984.122950819672,4.253016
1984.204918032787,2.7824676
1984.2868852459017,1.0752327
1984.3715846994535,0.20285726
1984.4535519125684,-0.7637756
1984.5382513661202,-1.1395638
1984.622950819672,0.80247307
1984.704918032787,1.847681
1984.7896174863388,4.4771576
1984.8715846994535,6.5051155
1984.9562841530055,2.9771938
1985.041095890411,1.1235552
1985.1205479452055,0.83582306
1985.2027397260274,0.7329886
1985.2849315068493,0.5783658
1985.3698630136987,0.52106774
1985.4520547945206,0.879483
1985.5369863013698,0.55605793
1985.6219178082192,3.133997
1985.704109589041,4.7851954
1985.7890410958903,2.619114
1985.8712328767124,-0.13931179
1985.9561643835616,-0.038202286
1986.041095890411,0.23174524
1986.1205479452055,-0.1595931
1986.2027397260274,-0.191993
1986.2849315068493,-0.42390615
1986.3698630136987,-0.56315005
1986.4520547945206,-1.1267345
1986.5369863013698,-2.60695
1986.6219178082192,-4.3322554
1986.704109589041,-1.6456528
1986.7890410958903,0.35927963
1986.8712328767124,2.4299812
1986.9561643835616,2.0231953
1987.041095890411,0.7998986
1987.1205479452055,0.2872429
1987.2027397260274,0.0885272
1987.2849315068493,0.003562808
1987.3698630136987,-0.21156067
1987.4520547945206,0.30838537
1987.5369863013698,1.6026092
1987.6219178082192,-0.90346384
1987.704109589041,-0.16708565
1987.7890410958903,-0.44919395
1987.8712328767124,0.34657478
1987.9561643835616,3.1806774
1988.0409836065573,1.8622284
1988.122950819672,0.25042295
1988.204918032787,-0.11181188
1988.2868852459017,-0.07546008
1988.3715846994535,-0.09786785
1988.4535519125684,-1.1515752
1988.5382513661202,-1.1635373
1988.622950819672,0.1516161
1988.704918032787,-0.4676981
1988.7896174863388,-1.294714
1988.8715846994535,0.41574097
1988.9562841530055,1.5302868
1989.041095890411,1.5038719
1989.1205479452055,0.4304762
1989.2027397260274,-0.064689875
1989.2849315068493,-0.07965827
1989.3698630136987,-0.030149937
1989.4520547945206,-0.25580764
1989.5369863013698,1.8509731
1989.6219178082192,1.381464
1989.704109589041,-2.1226606
1989.7890410958903,-4.80956
1989.8712328767124,-0.71258926
1989.9561643835616,3.5315533
1990.041095890411,3.2548199
1990.1205479452055,2.2536697
1990.2027397260274,1.5279634
1990.2849315068493,0.7425829
1990.3698630136987,0.0762043
1990.4520547945206,-0.9026625
