# year, N3_n_anom
2032.9289617486338,-0.116019525
2032.931693989071,-0.11357167
2032.9344262295083,-0.11286241
2032.9371584699454,-0.10868701
2032.9398907103825,-0.10450575
2032.9426229508197,-0.10173949
2032.9453551912568,-0.09996468
2032.948087431694,-0.09858749
2032.950819672131,-0.09603198
2032.9535519125684,-0.09529941
2032.9562841530055,-0.09458942
2032.9590163934427,-0.09225246
2032.9617486338798,-0.08877383
2032.964480874317,-0.08563739
2032.967213114754,-0.08283953
2032.9699453551912,-0.07848978
2032.9726775956285,-0.07591364
2032.9754098360656,-0.07691884
2032.9781420765028,-0.07518402
2032.98087431694,-0.07118771
2032.983606557377,-0.069509916
2032.9863387978141,-0.06697984
2032.9890710382513,-0.06513358
2032.9918032786886,-0.0641942
2032.9945355191257,-0.06258018
2032.9972677595629,-0.05988639
2033.0,-0.052807312
2033.0027397260274,-0.05056943
2033.0054794520547,-0.04936903
2033.0082191780823,-0.048510127
2033.0109589041097,-0.04840544
2033.013698630137,-0.04749233
2033.0164383561644,-0.04557493
2033.0191780821917,-0.04433226
2033.021917808219,-0.044140697
2033.0246575342467,-0.043239113
2033.027397260274,-0.042971842
2033.0301369863014,-0.04230304
2033.0328767123287,-0.0407904
2033.035616438356,-0.039839
2033.0383561643835,-0.039144877
2033.041095890411,-0.038684357
2033.0438356164384,-0.03789529
2033.0465753424658,-0.03753112
2033.0493150684931,-0.037860483
2033.0520547945205,-0.03656008
2033.054794520548,-0.035427686
2033.0575342465754,-0.034894936
2033.0602739726028,-0.03449969
2033.0630136986301,-0.033150032
2033.0657534246575,-0.03175754
2033.0684931506848,-0.0309868
2033.0712328767124,-0.030763704
2033.0739726027398,-0.030599393
2033.0767123287671,-0.03037395
2033.0794520547945,-0.02929426
2033.0821917808219,-0.028231677
2033.0849315068492,-0.027407821
2033.0876712328768,-0.027137268
2033.0904109589042,-0.026867438
2033.0931506849315,-0.026248705
2033.0958904109589,-0.02485888
2033.0986301369862,-0.02347523
2033.1013698630136,-0.024037838
2033.1041095890412,-0.023665342
2033.1068493150685,-0.022264171
2033.109589041096,-0.021886382
2033.1123287671232,-0.02073666
2033.1150684931506,-0.018206928
2033.1178082191782,-0.017352786
2033.1205479452055,-0.016773343
2033.123287671233,-0.015622191
2033.1260273972603,-0.014810331
2033.1287671232876,-0.014486253
2033.131506849315,-0.014197305
2033.1342465753426,-0.01358787
2033.13698630137,-0.013066575
2033.1397260273973,-0.01156836
2033.1424657534246,-0.009889636
2033.145205479452,-0.0110282935
2033.1479452054793,-0.011112388
2033.150684931507,-0.0102176145
2033.1534246575343,-0.009610958
2033.1561643835616,-0.009106889
2033.158904109589,-0.0087826215
2033.1616438356164,-0.008153882
2033.164383561644,-0.00785739
2033.1671232876713,-0.0073730648
2033.1698630136987,-0.0064259507
2033.172602739726,-0.0060165823
2033.1753424657534,-0.005760934
2033.1780821917807,-0.0048479363
2033.1808219178083,-0.0042484477
2033.1835616438357,-0.0037936382
2033.186301369863,-0.003135834
2033.1890410958904,-0.0031829253
2033.1917808219177,-0.0034756325
2033.194520547945,-0.0027750656
2033.1972602739727,-0.0025150813
2033.2,-0.0019730814
2033.2027397260274,-0.0012382604
2033.2054794520548,-0.00054400787
2033.2082191780821,0.00019636005
2033.2109589041097,0.0004651025
2033.213698630137,-0.0015631542
2033.2164383561644,-0.0018380992
2033.2191780821918,-0.001704704
2033.2219178082191,-0.002143547
2033.2246575342465,-0.0021518134
2033.227397260274,-0.0015121736
2033.2301369863014,-0.0014602803
2033.2328767123288,-0.0011303835
2033.2356164383561,-0.00040863827
2033.2383561643835,-0.00039558485
2033.2410958904109,-0.00057692453
