# year, Ptot_c_result
1986.2027397260274,3.37817
1986.2849315068493,2.6786456
1986.3698630136987,3.6426413
1986.4520547945206,5.1415377
1986.5369863013698,7.707913
1986.6219178082192,12.302312
1986.704109589041,24.561182
1986.7890410958903,31.493542
1986.8712328767124,28.675007
1986.9561643835616,17.37362
1987.041095890411,9.5872965
1987.1205479452055,5.7100205
1987.2027397260274,3.436039
1987.2849315068493,2.6040106
1987.3698630136987,2.8966317
1987.4520547945206,7.929191
1987.5369863013698,15.482162
1987.6219178082192,18.909834
1987.704109589041,28.152382
1987.7890410958903,28.825094
1987.8712328767124,25.360271
1987.9561643835616,19.880854
1988.0409836065573,11.6856785
1988.122950819672,5.794731
1988.204918032787,3.713351
1988.2868852459017,3.1419032
1988.3715846994535,3.4631152
1988.4535519125684,4.667335
1988.5382513661202,9.560364
1988.622950819672,17.749828
1988.704918032787,23.810175
1988.7896174863388,27.715452
1988.8715846994535,26.034626
1988.9562841530055,18.909182
1989.041095890411,11.382044
1989.1205479452055,5.877727
1989.2027397260274,3.6188774
1989.2849315068493,2.863484
1989.3698630136987,3.3877265
1989.4520547945206,6.4668922
1989.5369863013698,13.687374
1989.6219178082192,19.86733
1989.704109589041,23.403889
1989.7890410958903,24.097475
1989.8712328767124,25.035706
1989.9561643835616,22.206213
1990.041095890411,14.385573
1990.1205479452055,10.20418
1990.2027397260274,6.0683303
1990.2849315068493,4.031548
1990.3698630136987,3.0757241
1990.4520547945206,4.508146
1990.5369863013698,8.929425
1990.6219178082192,16.04447
1990.704109589041,19.980257
1990.7890410958903,21.991264
1990.8712328767124,23.110933
1990.9561643835616,14.244472
1991.041095890411,8.285293
1991.1205479452055,5.078813
1991.2027397260274,3.8523877
1991.2849315068493,2.8860002
1991.3698630136987,2.9666486
1991.4520547945206,5.3251457
1991.5369863013698,12.232184
1991.6219178082192,22.027227
1991.704109589041,26.442707
1991.7890410958903,23.756733
1991.8712328767124,16.781
1991.9561643835616,13.468858
1992.0409836065573,7.8064327
1992.122950819672,4.899273
1992.204918032787,3.3522296
1992.2868852459017,2.6840935
1992.3715846994535,4.169283
1992.4535519125684,9.732041
1992.5382513661202,14.198095
1992.622950819672,21.073967
1992.704918032787,25.977661
1992.7896174863388,26.605276
1992.8715846994535,21.501234
1992.9562841530055,15.376665
1993.041095890411,9.286636
1993.1205479452055,5.4613304
1993.2027397260274,3.6922216
1993.2849315068493,3.0908632
1993.3698630136987,3.1689012
1993.4520547945206,4.9712777
1993.5369863013698,9.743357
1993.6219178082192,15.460242
1993.704109589041,20.182888
1993.7890410958903,21.548033
1993.8712328767124,17.546917
1993.9561643835616,10.023452
1994.041095890411,6.091671
1994.1205479452055,4.328161
1994.2027397260274,3.4837277
1994.2849315068493,2.9953597
1994.3698630136987,4.401695
1994.4520547945206,6.748412
1994.5369863013698,10.612766
1994.6219178082192,22.73043
1994.704109589041,32.901646
1994.7890410958903,31.69098
1994.8712328767124,24.138258
1994.9561643835616,15.4120245
1995.041095890411,10.904049
1995.1205479452055,6.720101
1995.2027397260274,3.4736176
1995.2849315068493,2.56365
1995.3698630136987,3.365715
1995.4520547945206,5.4381323
1995.5369863013698,11.9937315
1995.6219178082192,23.028852
1995.704109589041,27.841633
1995.7890410958903,23.553877
1995.8712328767124,20.50028
1995.9561643835616,17.46661
1996.0409836065573,9.048541
1996.122950819672,4.9649315
1996.204918032787,3.5480871
1996.2868852459017,2.8163476
1996.3715846994535,3.3992338
1996.4535519125684,4.809235
1996.5382513661202,6.897784
1996.622950819672,12.955789
1996.704918032787,17.666973
1996.7896174863388,14.6022415
1996.8715846994535,14.095245
1996.9562841530055,7.713028
1997.041095890411,5.150709
1997.1205479452055,3.442161
1997.2027397260274,3.2658753
1997.2849315068493,4.0075192
1997.3698630136987,4.4237747
1997.4520547945206,5.1800003
1997.5369863013698,7.676649
1997.6219178082192,10.532974
1997.704109589041,13.025312
1997.7890410958903,23.385468
1997.8712328767124,21.522781
1997.9561643835616,12.0089245
1998.041095890411,6.649412
1998.1205479452055,4.0844564
1998.2027397260274,3.0575078
1998.2849315068493,2.8459098
1998.3698630136987,3.4788258
1998.4520547945206,5.948286
1998.5369863013698,14.177036
1998.6219178082192,21.850777
1998.704109589041,29.644274
1998.7890410958903,25.507885
1998.8712328767124,11.308755
1998.9561643835616,6.294269
1999.041095890411,4.056641
1999.1205479452055,2.9076686
1999.2027397260274,2.2703295
1999.2849315068493,2.8501544
1999.3698630136987,4.052756
1999.4520547945206,5.4308233
1999.5369863013698,7.225295
1999.6219178082192,11.065333
1999.704109589041,22.029848
1999.7890410958903,22.900455
1999.8712328767124,15.141249
1999.9561643835616,7.820072
2000.0409836065573,5.0710754
2000.122950819672,3.4427123
2000.204918032787,2.6667573
2000.2868852459017,3.1052299
2000.3715846994535,5.2509537
2000.4535519125684,6.936699
2000.5382513661202,11.2178
2000.622950819672,16.007883
2000.704918032787,22.112995
2000.7896174863388,19.246967
2000.8715846994535,18.013487
2000.9562841530055,13.021762
2001.041095890411,8.511626
2001.1205479452055,5.3137007
2001.2027397260274,3.9165487
2001.2849315068493,3.6820383
2001.3698630136987,4.4784894
2001.4520547945206,6.739639
2001.5369863013698,11.628759
2001.6219178082192,16.730658
2001.704109589041,20.951012
2001.7890410958903,23.560667
2001.8712328767124,19.010593
2001.9561643835616,9.810018
2002.041095890411,5.972525
2002.1205479452055,3.8602476
2002.2027397260274,2.7307012
2002.2849315068493,2.8890078
2002.3698630136987,3.6440473
2002.4520547945206,4.9043565
2002.5369863013698,7.899723
2002.6219178082192,12.44528
2002.704109589041,16.388258
2002.7890410958903,23.701527
2002.8712328767124,22.89468
2002.9561643835616,14.023945
2003.041095890411,10.407683
2003.1205479452055,6.4497004
2003.2027397260274,4.2577863
2003.2849315068493,3.6030505
2003.3698630136987,4.0030684
2003.4520547945206,6.707621
2003.5369863013698,9.169261
2003.6219178082192,14.716322
2003.704109589041,23.261621
2003.7890410958903,23.608046
2003.8712328767124,12.372408
2003.9561643835616,6.7362647
2004.0409836065573,4.034575
2004.122950819672,2.8217463
2004.204918032787,2.3521144
2004.2868852459017,3.4674025
2004.3715846994535,5.1644945
2004.4535519125684,9.951406
2004.5382513661202,14.837699
2004.622950819672,13.357983
2004.704918032787,15.753892
2004.7896174863388,11.454308
2004.8715846994535,7.826832
2004.9562841530055,5.8618646
2005.041095890411,3.9114618
2005.1205479452055,2.8557835
2005.2027397260274,2.5075722
2005.2849315068493,3.8989868
2005.3698630136987,4.8642
2005.4520547945206,5.3138494
2005.5369863013698,10.560677
2005.6219178082192,17.509829
2005.704109589041,21.938478
2005.7890410958903,25.842852
2005.8712328767124,22.40147
2005.9561643835616,10.094559
