# year, O3_TA
1982.304109589041,2437.8315
1982.3068493150686,2437.9072
1982.309589041096,2438.0366
1982.3123287671233,2436.8442
1982.3150684931506,2434.4358
1982.317808219178,2436.045
1982.3205479452056,2436.405
1982.323287671233,2437.3198
1982.3260273972603,2438.5137
1982.3287671232877,2439.204
1982.331506849315,2439.0085
1982.3342465753424,2439.4114
1982.33698630137,2439.5962
1982.3397260273973,2438.9302
1982.3424657534247,2438.9524
1982.345205479452,2436.823
1982.3479452054794,2436.5308
1982.3506849315067,2436.355
1982.3534246575343,2434.2827
1982.3561643835617,2435.7986
1982.358904109589,2436.2495
1982.3616438356164,2434.9238
1982.3643835616438,2433.82
1982.3671232876711,2428.921
1982.3698630136987,2426.682
1982.372602739726,2431.4907
1982.3753424657534,2431.5186
1982.3780821917808,2432.2263
1982.3808219178081,2432.6677
1982.3835616438357,2432.8687
1982.386301369863,2432.607
1982.3890410958904,2432.567
1982.3917808219178,2433.2913
1982.3945205479451,2433.8982
1982.3972602739725,2434.1526
1982.4,2434.4382
1982.4027397260274,2435.0215
1982.4054794520548,2434.14
1982.4082191780822,2433.397
1982.4109589041095,2435.6165
1982.4136986301369,2435.9165
1982.4164383561645,2436.7385
1982.4191780821918,2437.3855
1982.4219178082192,2437.4475
1982.4246575342465,2437.363
1982.427397260274,2437.9712
1982.4301369863015,2438.32
1982.4328767123288,2438.7966
1982.4356164383562,2439.484
1982.4383561643835,2440.2192
1982.441095890411,2441.091
1982.4438356164383,2441.8892
1982.4465753424658,2442.4019
1982.4493150684932,2442.6177
1982.4520547945206,2442.7595
1982.454794520548,2442.547
1982.4575342465753,2442.8342
1982.4602739726026,2442.997
1982.4630136986302,2443.0896
1982.4657534246576,2443.148
1982.468493150685,2443.3506
1982.4712328767123,2443.5813
1982.4739726027397,2443.7734
1982.4767123287672,2444.0107
1982.4794520547946,2444.139
1982.482191780822,2444.283
1982.4849315068493,2444.3625
1982.4876712328767,2444.4324
1982.490410958904,2444.7217
1982.4931506849316,2444.871
1982.495890410959,2444.9307
1982.4986301369863,2445.1963
1982.5013698630137,2445.4458
1982.504109589041,2445.563
1982.5068493150684,2445.827
1982.509589041096,2445.9878
1982.5123287671233,2446.0854
1982.5150684931507,2446.2356
1982.517808219178,2446.51
1982.5205479452054,2446.7566
1982.5232876712328,2446.8562
1982.5260273972603,2446.8645
1982.5287671232877,2447.0354
1982.531506849315,2447.2627
1982.5342465753424,2447.6624
1982.5369863013698,2447.8933
1982.5397260273974,2447.9602
1982.5424657534247,2447.9028
