# year, O3_c
1995.054794520548,2096.9895
1995.0575342465754,2092.2683
1995.0602739726028,2096.3323
1995.0630136986301,2098.4836
1995.0657534246575,2097.7493
1995.0684931506848,2096.6677
1995.0712328767124,2097.407
1995.0739726027398,2097.1294
1995.0767123287671,2094.5454
1995.0794520547945,2097.6318
1995.0821917808219,2098.6157
1995.0849315068492,2097.5276
1995.0876712328768,2094.887
1995.0904109589042,2096.8796
1995.0931506849315,2098.775
1995.0958904109589,2097.5144
1995.0986301369862,2098.6997
1995.1013698630136,2098.852
1995.1041095890412,2098.4294
1995.1068493150685,2099.3577
1995.109589041096,2098.8547
1995.1123287671232,2098.5017
1995.1150684931506,2097.8093
1995.1178082191782,2098.3972
1995.1205479452055,2099.9607
1995.123287671233,2099.968
1995.1260273972603,2099.5208
1995.1287671232876,2099.9705
1995.131506849315,2100.3179
1995.1342465753426,2100.684
1995.13698630137,2101.0051
1995.1397260273973,2101.1687
1995.1424657534246,2101.5251
1995.145205479452,2100.9187
1995.1479452054793,2100.2295
1995.150684931507,2100.182
1995.1534246575343,2097.3638
1995.1561643835616,2097.7488
1995.158904109589,2095.9248
1995.1616438356164,2093.5295
1995.164383561644,2098.279
1995.1671232876713,2099.508
1995.1698630136987,2099.0684
1995.172602739726,2097.6226
1995.1753424657534,2098.7312
1995.1780821917807,2099.023
1995.1808219178083,2096.6335
1995.1835616438357,2098.3555
1995.186301369863,2098.9128
1995.1890410958904,2100.6707
1995.1917808219177,2100.8213
1995.194520547945,2100.4595
1995.1972602739727,2100.4844
1995.2,2102.777
1995.2027397260274,2099.182
1995.2054794520548,2101.1985
1995.2082191780821,2103.9111
1995.2109589041097,2102.2498
1995.213698630137,2103.3967
1995.2164383561644,2104.261
1995.2191780821918,2100.042
1995.2219178082191,2095.8108
1995.2246575342465,2101.4805
1995.227397260274,2104.0183
1995.2301369863014,2104.9128
1995.2328767123288,2105.2896
1995.2356164383561,2105.354
1995.2383561643835,2100.891
1995.2410958904109,2094.8357
1995.2438356164384,2103.1555
1995.2465753424658,2104.7417
1995.2493150684932,2105.3618
1995.2520547945205,2101.5173
