# year, N3_n_clim
1.0601092896174864,0.07054672
1.0628415300546448,0.070021264
1.0655737704918034,0.06884641
1.0683060109289617,0.06786953
1.0710382513661203,0.06717615
1.0737704918032787,0.06658554
1.0765027322404372,0.06637279
1.0792349726775956,0.06605573
1.0819672131147542,0.06497527
1.0846994535519126,0.06405252
1.0874316939890711,0.063674465
1.0901639344262295,0.063638486
1.092896174863388,0.063349456
1.0956284153005464,0.062994465
1.098360655737705,0.062162243
1.1010928961748634,0.061410498
1.1038251366120218,0.061558086
1.1065573770491803,0.0608175
1.1092896174863387,0.059411697
1.1120218579234973,0.059258163
1.1147540983606556,0.058917306
1.1174863387978142,0.057576872
1.1202185792349726,0.05705117
1.1229508196721312,0.056341104
1.1256830601092895,0.055417664
1.1284153005464481,0.05493165
1.1311475409836065,0.05445121
1.133879781420765,0.053945623
1.1366120218579234,0.05338011
1.139344262295082,0.053137682
1.1420765027322404,0.052669786
1.144808743169399,0.051807236
1.1475409836065573,0.05204594
1.150273224043716,0.052009057
1.1530054644808743,0.051195133
1.1557377049180328,0.05065784
1.1584699453551912,0.050462753
1.1612021857923498,0.050390393
1.1639344262295082,0.049955055
1.1666666666666667,0.04974775
1.169398907103825,0.04952037
1.1721311475409837,0.048908018
1.174863387978142,0.04850324
1.1775956284153006,0.0482202
1.180327868852459,0.04809007
1.1830601092896176,0.047480956
1.185792349726776,0.046934016
1.1885245901639343,0.046995364
1.1912568306010929,0.04669269
1.1939890710382515,0.046188295
1.1967213114754098,0.046012398
1.1994535519125682,0.04579392
1.2021857923497268,0.04554945
1.2049180327868854,0.045330793
1.2076502732240437,0.04487863
1.210382513661202,0.04465118
1.2131147540983607,0.04457615
1.215846994535519,0.04432977
1.2185792349726776,0.04397898
1.221311475409836,0.043805342
1.2240437158469946,0.043563932
1.226775956284153,0.043425776
1.2295081967213115,0.043336112
1.2322404371584699,0.043067567
1.2349726775956285,0.042829905
1.2377049180327868,0.042665966
1.2404371584699454,0.042482976
1.2431693989071038,0.04238004
1.2459016393442623,0.04232605
1.2486338797814207,0.04216481
1.2513661202185793,0.042065382
1.2540983606557377,0.042005368
1.2568306010928962,0.041743267
1.2595628415300546,0.04159787
1.2622950819672132,0.041398756
1.2650273224043715,0.04117375
1.2677595628415301,0.040950775
1.2704918032786885,0.040887747
1.273224043715847,0.0407518
1.2759562841530054,0.040545203
1.278688524590164,0.04041638
1.2814207650273224,0.04039124
1.2841530054644807,0.040315352
1.2868852459016393,0.040148325
1.289617486338798,0.03992987
1.2923497267759563,0.03968803
1.2950819672131146,0.039507795
1.2978142076502732,0.039312232
1.3005464480874318,0.039115198
1.3032786885245902,0.038978156
1.3060109289617485,0.03871048
1.3087431693989071,0.038426705
1.3114754098360657,0.038179148
1.314207650273224,0.038086463
1.3169398907103824,0.0378247
1.319672131147541,0.03753728
1.3224043715846996,0.03740643
1.325136612021858,0.037208285
1.3278688524590163,0.036898695
1.330601092896175,0.036563225
1.3333333333333333,0.036359724
1.3360655737704918,0.036192965
1.3387978142076502,0.036163267
1.3415300546448088,0.03602792
1.3442622950819672,0.035818838
1.3469945355191257,0.03563343
1.349726775956284,0.035641957
1.3524590163934427,0.036027905
1.355191256830601,0.036202956
1.3579234972677596,0.03614191
1.360655737704918,0.035982214
1.3633879781420766,0.035806738
1.366120218579235,0.03565926
1.3688524590163935,0.035524644
1.3715846994535519,0.03541258
1.3743169398907105,0.035359126
1.3770491803278688,0.03568914
1.3797814207650272,0.036319006
1.3825136612021858,0.036528382
1.3852459016393444,0.036530346
1.3879781420765027,0.036824204
1.390710382513661,0.037047498
1.3934426229508197,0.03728258
1.3961748633879782,0.03703373
1.3989071038251366,0.03673822
1.401639344262295,0.03660103
1.4043715846994536,0.03638
1.4071038251366121,0.036052056
1.4098360655737705,0.03605749
1.4125683060109289,0.036093313
1.4153005464480874,0.035998046
1.418032786885246,0.03837283
1.4207650273224044,0.040024165
1.4234972677595628,0.043807525
1.4262295081967213,0.05108262
1.4289617486338797,0.057652563
1.4316939890710383,0.062140238
1.4344262295081966,0.06483171
1.4371584699453552,0.07172088
1.4398907103825136,0.07392344
1.4426229508196722,0.074223205
1.4453551912568305,0.070489086
1.4480874316939891,0.070432074
1.4508196721311475,0.0723224
1.453551912568306,0.07316447
1.4562841530054644,0.07241188
1.459016393442623,0.070672944
1.4617486338797814,0.06866701
1.46448087431694,0.06776419
1.4672131147540983,0.068180256
1.469945355191257,0.067913495
1.4726775956284153,0.06795128
1.4754098360655736,0.06984336
1.4781420765027322,0.07190876
1.4808743169398908,0.075574726
1.4836065573770492,0.078344084
1.4863387978142075,0.08017647
1.489071038251366,0.08121331
1.4918032786885247,0.079544224
1.494535519125683,0.0785752
1.4972677595628414,0.07712347
1.5,0.07518493
1.5027322404371586,0.07308522
1.505464480874317,0.07200881
1.5081967213114753,0.071314216
1.510928961748634,0.07025002
1.5136612021857925,0.06945418
1.5163934426229508,0.07166882
1.5191256830601092,0.073847994
1.5218579234972678,0.07706056
1.5245901639344264,0.08022262
1.5273224043715847,0.08373531
1.530054644808743,0.08725871
1.5327868852459017,0.08748914
1.5355191256830603,0.08754128
1.5382513661202186,0.088550076
1.540983606557377,0.08957814
1.5437158469945356,0.09156923
1.5464480874316942,0.09410144
1.5491803278688525,0.09618269
1.5519125683060109,0.09919986
1.5546448087431695,0.10304804
1.5573770491803278,0.1051514
1.5601092896174862,0.10684117
1.5628415300546448,0.10850674
1.5655737704918034,0.11405319
1.5683060109289617,0.119814895
1.57103825136612,0.12345113
1.5737704918032787,0.12763125
1.5765027322404372,0.13021967
1.5792349726775956,0.12926853
1.581967213114754,0.12978023
1.5846994535519126,0.13046746
1.5874316939890711,0.13039477
1.5901639344262295,0.1316458
1.5928961748633879,0.13483874
1.5956284153005464,0.13645008
1.598360655737705,0.13974003
1.6010928961748634,0.14584342
1.6038251366120218,0.15194009
1.6065573770491803,0.15828009
1.609289617486339,0.16455594
1.6120218579234973,0.17505006
1.6147540983606556,0.19003071
1.6174863387978142,0.20166025
1.6202185792349728,0.20771608
1.6229508196721312,0.21709982
1.6256830601092895,0.23142536
1.6284153005464481,0.2417197
1.6311475409836067,0.24474242
1.633879781420765,0.24835166
1.6366120218579234,0.2583185
1.639344262295082,0.2737574
1.6420765027322406,0.28741074
1.644808743169399,0.3010065
1.6475409836065573,0.32381174
1.650273224043716,0.34041935
1.6530054644808743,0.3534374
1.6557377049180326,0.37465632
1.6584699453551912,0.38874373
1.6612021857923498,0.3910008
1.6639344262295082,0.3915401
1.6666666666666665,0.40044603
1.669398907103825,0.41445923
1.6721311475409837,0.4328552
1.674863387978142,0.44130892
1.6775956284153004,0.44652
1.680327868852459,0.46340713
1.6830601092896176,0.4810136
1.685792349726776,0.48595566
1.6885245901639343,0.49309212
1.6912568306010929,0.50923187
1.6939890710382515,0.526207
1.6967213114754098,0.54088026
1.6994535519125682,0.54610795
1.7021857923497268,0.5439786
1.7049180327868854,0.5424217
