# year, O3_pH_anom
1985.1205479452055,0.022071838
1985.2027397260274,0.021756172
1985.2849315068493,0.013500214
1985.3698630136987,0.009278297
1985.4520547945206,0.0052108765
1985.5369863013698,0.002735138
1985.6219178082192,0.008751869
1985.704109589041,0.0023508072
1985.7890410958903,0.0014286041
1985.8712328767124,0.0089674
1985.9561643835616,0.009401321
1986.041095890411,0.009710312
1986.1205479452055,0.0008621216
1986.2027397260274,-0.0023269653
1986.2849315068493,-0.015849113
1986.3698630136987,-0.01884842
1986.4520547945206,-0.013569832
1986.5369863013698,-0.017910004
1986.6219178082192,-0.019117355
1986.704109589041,-0.01606083
1986.7890410958903,-0.014846802
1986.8712328767124,-0.0055685043
1986.9561643835616,-0.001958847
1987.041095890411,0.011072159
1987.1205479452055,0.011455536
1987.2027397260274,0.00845623
1987.2849315068493,0.0038089752
1987.3698630136987,-0.0076265335
1987.4520547945206,-0.0022239685
1987.5369863013698,0.001490593
1987.6219178082192,-0.0010576248
1987.704109589041,7.247925e-05
1987.7890410958903,-0.0037050247
1987.8712328767124,-0.012637138
1987.9561643835616,-0.008304596
1988.0409836065573,0.007153511
1988.122950819672,0.0021018982
1988.204918032787,-0.0087919235
1988.2868852459017,-0.011296272
1988.3715846994535,-0.008296967
1988.4535519125684,-0.012252808
1988.5382513661202,-0.013998985
1988.622950819672,-0.010055542
1988.704918032787,-0.01636219
1988.7896174863388,-0.024263382
1988.8715846994535,-0.023917198
1988.9562841530055,-0.011425018
1989.041095890411,0.0058202744
1989.1205479452055,0.0023183823
1989.2027397260274,-0.0059633255
1989.2849315068493,-0.0069475174
1989.3698630136987,-0.008230209
1989.4520547945206,-0.009173393
1989.5369863013698,-0.010357857
1989.6219178082192,-0.011182785
1989.704109589041,-0.022022247
1989.7890410958903,-0.024201393
1989.8712328767124,-0.02492237
1989.9561643835616,-0.011751175
1990.041095890411,-0.0005645752
1990.1205479452055,0.0039014816
1990.2027397260274,0.0046453476
1990.2849315068493,-0.0024814606
1990.3698630136987,-0.016007423
1990.4520547945206,-0.016537666
1990.5369863013698,-0.021083832
1990.6219178082192,-0.020515442
1990.704109589041,-0.013633728
1990.7890410958903,-0.016272545
1990.8712328767124,-0.030521393
1990.9561643835616,-0.023685455
1991.041095890411,-0.013058662
1991.1205479452055,-0.014131546
1991.2027397260274,-0.010481834
1991.2849315068493,-0.022349358
1991.3698630136987,-0.027914047
1991.4520547945206,-0.028748512
1991.5369863013698,-0.028131485
1991.6219178082192,-0.022515297
1991.704109589041,-0.0211792
1991.7890410958903,-0.020524979
1991.8712328767124,-0.018401146
1991.9561643835616,-0.014318466
1992.0409836065573,-0.0101184845
1992.122950819672,-0.011510849
1992.204918032787,-0.012503624
1992.2868852459017,-0.017411232
1992.3715846994535,-0.01332283
1992.4535519125684,-0.009320259
1992.5382513661202,-0.008785248
1992.622950819672,-0.0095357895
1992.704918032787,-0.010974884
1992.7896174863388,-0.014381409
1992.8715846994535,-0.01139164
1992.9562841530055,-0.009191513
1993.041095890411,-0.0047912598
1993.1205479452055,-0.005791664
1993.2027397260274,-0.012887001
1993.2849315068493,-0.017540932
1993.3698630136987,-0.026144028
1993.4520547945206,-0.02745533
1993.5369863013698,-0.029624939
1993.6219178082192,-0.030721664
1993.704109589041,-0.028337479
1993.7890410958903,-0.029598236
1993.8712328767124,-0.028927803
1993.9561643835616,-0.03120327
1994.041095890411,-0.031170845
1994.1205479452055,-0.027650833
1994.2027397260274,-0.029750824
1994.2849315068493,-0.032863617
1994.3698630136987,-0.02313137
1994.4520547945206,-0.01892662
1994.5369863013698,-0.024703026
1994.6219178082192,-0.025479317
1994.704109589041,-0.031132698
1994.7890410958903,-0.033664703
1994.8712328767124,-0.025309563
1994.9561643835616,-0.027974129
1995.041095890411,-0.017296791
1995.1205479452055,-0.01237011
1995.2027397260274,-0.011693001
1995.2849315068493,-0.025390625
1995.3698630136987,-0.03507042
1995.4520547945206,-0.03457451
1995.5369863013698,-0.033143044
1995.6219178082192,-0.030952454
1995.704109589041,-0.023519516
1995.7890410958903,-0.025042534
1995.8712328767124,-0.035894394
1995.9561643835616,-0.03405285
1996.0409836065573,-0.022936821
1996.122950819672,-0.027281761
1996.204918032787,-0.023418427
1996.2868852459017,-0.025572777
1996.3715846994535,-0.027915
1996.4535519125684,-0.02964592
1996.5382513661202,-0.034181595
1996.622950819672,-0.03749752
1996.704918032787,-0.031965256
1996.7896174863388,-0.034625053
1996.8715846994535,-0.039978027
1996.9562841530055,-0.047574997
1997.041095890411,-0.05367279
1997.1205479452055,-0.06400585
1997.2027397260274,-0.057969093
1997.2849315068493,-0.05313492
1997.3698630136987,-0.04741001
1997.4520547945206,-0.04815674
1997.5369863013698,-0.05171585
1997.6219178082192,-0.049984932
1997.704109589041,-0.04293537
1997.7890410958903,-0.03622818
1997.8712328767124,-0.037602425
1997.9561643835616,-0.041873932
1998.041095890411,-0.036109924
1998.1205479452055,-0.042443275
1998.2027397260274,-0.04512787
1998.2849315068493,-0.041618347
1998.3698630136987,-0.045134544
1998.4520547945206,-0.04362011
1998.5369863013698,-0.03695774
1998.6219178082192,-0.033367157
1998.704109589041,-0.026236534
1998.7890410958903,-0.017996788
1998.8712328767124,-0.025182724
1998.9561643835616,-0.0384655
1999.041095890411,-0.04173374
1999.1205479452055,-0.04704857
1999.2027397260274,-0.051221848
1999.2849315068493,-0.052793503
1999.3698630136987,-0.047761917
1999.4520547945206,-0.040122032
1999.5369863013698,-0.048833847
1999.6219178082192,-0.05383396
1999.704109589041,-0.051116943
1999.7890410958903,-0.0420475
1999.8712328767124,-0.0406456
1999.9561643835616,-0.051504135
2000.0409836065573,-0.05457878
2000.122950819672,-0.05343628
2000.204918032787,-0.056962013
2000.2868852459017,-0.061249733
2000.3715846994535,-0.05980587
2000.4535519125684,-0.05162239
2000.5382513661202,-0.04557991
2000.622950819672,-0.042621613
2000.704918032787,-0.042513847
2000.7896174863388,-0.04541588
2000.8715846994535,-0.04459095
2000.9562841530055,-0.04507065
2001.041095890411,-0.041493416
2001.1205479452055,-0.048137665
2001.2027397260274,-0.04303074
2001.2849315068493,-0.04664135
2001.3698630136987,-0.05585289
2001.4520547945206,-0.051953316
2001.5369863013698,-0.048524857
2001.6219178082192,-0.047973633
2001.704109589041,-0.03748417
2001.7890410958903,-0.034035683
2001.8712328767124,-0.031859398
2001.9561643835616,-0.037094116
2002.041095890411,-0.0371027
2002.1205479452055,-0.037950516
2002.2027397260274,-0.04873085
2002.2849315068493,-0.052265167
2002.3698630136987,-0.0574255
2002.4520547945206,-0.058475494
2002.5369863013698,-0.060157776
2002.6219178082192,-0.05876541
2002.704109589041,-0.05076313
2002.7890410958903,-0.051743507
2002.8712328767124,-0.048633575
2002.9561643835616,-0.04826641
