# year, O3_pH
2011.3698630136987,8.059763
2011.4520547945206,8.082498
2011.5369863013698,8.102994
2011.6219178082192,8.1106
2011.704109589041,8.112194
2011.7890410958903,8.115052
2011.8712328767124,8.114226
2011.9561643835616,8.098082
2012.0409836065573,8.079019
2012.122950819672,8.060816
2012.204918032787,8.038558
2012.2868852459017,8.034889
2012.3715846994535,8.048404
2012.4535519125684,8.072617
2012.5382513661202,8.088625
2012.622950819672,8.095703
2012.704918032787,8.102707
2012.7896174863388,8.106538
2012.8715846994535,8.113214
2012.9562841530055,8.109604
2013.041095890411,8.092111
2013.1205479452055,8.062298
2013.2027397260274,8.049678
2013.2849315068493,8.049599
2013.3698630136987,8.057371
2013.4520547945206,8.072795
2013.5369863013698,8.089359
2013.6219178082192,8.098866
2013.704109589041,8.103005
2013.7890410958903,8.104427
2013.8712328767124,8.112169
2013.9561643835616,8.11364
2014.041095890411,8.097327
2014.1205479452055,8.072861
2014.2027397260274,8.04764
2014.2849315068493,8.043198
2014.3698630136987,8.062669
2014.4520547945206,8.078702
2014.5369863013698,8.087372
2014.6219178082192,8.095096
2014.704109589041,8.104439
2014.7890410958903,8.105091
2014.8712328767124,8.114544
2014.9561643835616,8.122077
2015.041095890411,8.116425
2015.1205479452055,8.095245
2015.2027397260274,8.078785
2015.2849315068493,8.069821
2015.3698630136987,8.071309
2015.4520547945206,8.079985
2015.5369863013698,8.093133
2015.6219178082192,8.097254
2015.704109589041,8.099481
2015.7890410958903,8.099321
2015.8712328767124,8.101111
2015.9561643835616,8.096492
2016.0409836065573,8.076831
2016.122950819672,8.05887
2016.204918032787,8.049219
2016.2868852459017,8.045423
2016.3715846994535,8.05244
2016.4535519125684,8.067344
2016.5382513661202,8.078557
2016.622950819672,8.088023
2016.704918032787,8.092808
2016.7896174863388,8.09725
2016.8715846994535,8.104344
2016.9562841530055,8.100656
2017.041095890411,8.092256
2017.1205479452055,8.079348
2017.2027397260274,8.057862
2017.2849315068493,8.046984
2017.3698630136987,8.057298
2017.4520547945206,8.078156
2017.5369863013698,8.09467
2017.6219178082192,8.1021
2017.704109589041,8.106472
2017.7890410958903,8.1080885
2017.8712328767124,8.110858
2017.9561643835616,8.102543
2018.041095890411,8.081467
2018.1205479452055,8.057395
2018.2027397260274,8.0318985
2018.2849315068493,8.0324
2018.3698630136987,8.052376
2018.4520547945206,8.069836
2018.5369863013698,8.084431
2018.6219178082192,8.094433
2018.704109589041,8.10308
2018.7890410958903,8.106728
2018.8712328767124,8.105224
2018.9561643835616,8.085822
2019.041095890411,8.071548
2019.1205479452055,8.047851
2019.2027397260274,8.031671
2019.2849315068493,8.025267
2019.3698630136987,8.031734
2019.4520547945206,8.056347
2019.5369863013698,8.083503
2019.6219178082192,8.087942
2019.704109589041,8.091329
2019.7890410958903,8.09456
2019.8712328767124,8.0920515
2019.9561643835616,8.090338
2020.0409836065573,8.076286
2020.122950819672,8.053726
2020.204918032787,8.033511
2020.2868852459017,8.034123
2020.3715846994535,8.049492
2020.4535519125684,8.068241
2020.5382513661202,8.081963
2020.622950819672,8.086087
