# year, O3_TA_clim
0.8469945355191257,2451.5024
0.8497267759562842,2451.6648
0.8524590163934426,2451.5635
0.855191256830601,2451.363
0.8579234972677595,2451.2588
0.860655737704918,2451.255
0.8633879781420765,2451.2852
0.8661202185792349,2451.2366
0.8688524590163934,2451.0999
0.8715846994535519,2450.958
0.8743169398907104,2450.7974
0.8770491803278688,2450.7773
0.8797814207650273,2450.8677
0.8825136612021858,2450.7495
0.8852459016393442,2450.7734
0.8879781420765027,2450.6475
0.8907103825136612,2450.3887
0.8934426229508197,2450.294
0.8961748633879781,2450.3572
0.8989071038251366,2450.0376
0.9016393442622951,2449.7617
0.9043715846994536,2449.7397
0.907103825136612,2449.7817
0.9098360655737705,2449.5337
0.912568306010929,2448.913
0.9153005464480874,2448.657
0.9180327868852459,2448.6846
0.9207650273224044,2448.4521
0.9234972677595629,2447.7644
0.9262295081967213,2446.9817
0.9289617486338798,2446.784
0.9316939890710383,2446.8232
0.9344262295081968,2446.0225
0.9371584699453552,2445.2002
0.9398907103825137,2444.837
0.9426229508196722,2444.4111
0.9453551912568307,2444.3267
0.9480874316939891,2443.8884
0.9508196721311475,2443.9214
0.953551912568306,2443.2354
0.9562841530054644,2443.1982
0.9590163934426229,2442.9001
0.9617486338797814,2442.4788
0.9644808743169399,2442.6033
0.9672131147540983,2442.3486
0.9699453551912568,2441.9128
0.9726775956284153,2441.8716
0.9754098360655737,2441.8936
0.9781420765027322,2441.2327
0.9808743169398907,2440.4353
0.9836065573770492,2440.2842
0.9863387978142076,2440.5544
0.9890710382513661,2440.544
0.9918032786885246,2440.2344
0.994535519125683,2440.0012
0.9972677595628415,2440.0088
1.0,2437.0354
1.0027322404371584,2438.6357
1.005464480874317,2438.1367
1.0081967213114753,2438.5115
1.010928961748634,2439.3003
1.0136612021857923,2439.4739
1.0163934426229508,2439.512
1.0191256830601092,2439.4111
1.0218579234972678,2439.2588
1.0245901639344261,2438.91
1.0273224043715847,2439.2073
1.030054644808743,2439.5425
1.0327868852459017,2439.3608
1.03551912568306,2438.517
1.0382513661202186,2438.8118
1.040983606557377,2438.7207
1.0437158469945356,2438.73
1.046448087431694,2438.377
1.0491803278688525,2437.355
1.0519125683060109,2438.4893
1.0546448087431695,2438.933
1.0573770491803278,2438.6335
1.0601092896174864,2438.6077
1.0628415300546448,2438.9097
1.0655737704918034,2438.7625
1.0683060109289617,2438.607
1.0710382513661203,2438.0894
1.0737704918032787,2437.9543
1.0765027322404372,2437.899
1.0792349726775956,2437.808
1.0819672131147542,2438.0168
1.0846994535519126,2438.2078
1.0874316939890711,2438.5178
1.0901639344262295,2437.932
1.092896174863388,2437.832
