# year, so_abs
1997.2520547945205,35.618923
1997.2547945205479,35.600468
1997.2575342465752,35.4686
1997.2602739726028,35.5299
1997.2630136986302,35.582363
1997.2657534246575,35.585762
1997.268493150685,35.569164
1997.2712328767122,35.55581
1997.2739726027398,35.48571
1997.2767123287672,35.50878
1997.2794520547945,35.564392
1997.282191780822,35.574394
1997.2849315068493,35.55844
1997.2876712328766,35.52667
1997.2904109589042,35.53153
1997.2931506849316,35.435184
1997.295890410959,35.360355
1997.2986301369863,35.46748
1997.3013698630136,35.50872
1997.304109589041,35.511555
1997.3068493150686,35.509556
1997.309589041096,35.48358
1997.3123287671233,35.4044
1997.3150684931506,35.369156
1997.317808219178,35.329212
1997.3205479452056,35.268394
1997.323287671233,35.26996
1997.3260273972603,35.38086
1997.3287671232877,35.399597
1997.331506849315,35.411263
1997.3342465753424,35.38925
1997.33698630137,35.411552
1997.3397260273973,35.423676
1997.3424657534247,35.40752
1997.345205479452,35.40319
1997.3479452054794,35.411755
1997.3506849315067,35.412853
1997.3534246575343,35.3532
1997.3561643835617,35.37905
1997.358904109589,35.379646
1997.3616438356164,35.375656
1997.3643835616438,35.361732
1997.3671232876711,35.35629
1997.3698630136987,35.348995
1997.372602739726,35.345856
1997.3753424657534,35.32363
1997.3780821917808,35.32042
1997.3808219178081,35.278023
1997.3835616438357,35.246258
1997.386301369863,35.246212
1997.3890410958904,35.243748
1997.3917808219178,35.239178
1997.3945205479451,35.23466
1997.3972602739725,35.24206
1997.4,35.24581
1997.4027397260274,35.24779
1997.4054794520548,35.24931
1997.4082191780822,35.254013
1997.4109589041095,35.25584
1997.4136986301369,35.226322
1997.4164383561645,35.21909
1997.4191780821918,35.228542
1997.4219178082192,35.230083
1997.4246575342465,35.23293
1997.427397260274,35.236504
1997.4301369863015,35.23218
1997.4328767123288,35.23297
1997.4356164383562,35.22781
1997.4383561643835,35.231018
1997.441095890411,35.24054
1997.4438356164383,35.24265
1997.4465753424658,35.249775
1997.4493150684932,35.256256
1997.4520547945206,35.256916
1997.454794520548,35.264187
1997.4575342465753,35.265408
1997.4602739726026,35.260082
1997.4630136986302,35.251167
1997.4657534246576,35.20982
1997.468493150685,35.256405
1997.4712328767123,35.265903
1997.4739726027397,35.27516
1997.4767123287672,35.286137
1997.4794520547946,35.28819
1997.482191780822,35.290703
1997.4849315068493,35.299107
1997.4876712328767,35.297405
1997.490410958904,35.30005
1997.4931506849316,35.30391
1997.495890410959,35.312702
1997.4986301369863,35.321217
1997.5013698630137,35.330666
1997.504109589041,35.34087
1997.5068493150684,35.35457
1997.509589041096,35.370213
1997.5123287671233,35.38474
1997.5150684931507,35.396442
1997.517808219178,35.40013
1997.5205479452054,35.40422
1997.5232876712328,35.41259
1997.5260273972603,35.41935
1997.5287671232877,35.420403
1997.531506849315,35.423965
1997.5342465753424,35.434265
1997.5369863013698,35.44898
1997.5397260273974,35.45858
1997.5424657534247,35.46256
1997.545205479452,35.465015
1997.5479452054794,35.468815
1997.5506849315068,35.464905
1997.5534246575342,35.46398
1997.5561643835617,35.4704
1997.558904109589,35.474293
1997.5616438356165,35.473114
1997.5643835616438,35.474144
1997.5671232876712,35.47539
1997.5698630136985,35.477497
1997.572602739726,35.481125
1997.5753424657535,35.481636
1997.5780821917808,35.485027
1997.5808219178082,35.489277
1997.5835616438355,35.49256
1997.5863013698631,35.494312
1997.5890410958905,35.4986
1997.5917808219178,35.501617
1997.5945205479452,35.50663
1997.5972602739726,35.50854
1997.6,35.508667
1997.6027397260275,35.513447
1997.6054794520549,35.518795
1997.6082191780822,35.522488
1997.6109589041096,35.525146
1997.613698630137,35.531124
1997.6164383561643,35.53559
1997.6191780821919,35.538128
1997.6219178082192,35.54405
1997.6246575342466,35.545563
1997.627397260274,35.546776
1997.6301369863013,35.550423
1997.6328767123289,35.55143
1997.6356164383562,35.552364
1997.6383561643836,35.552696
1997.641095890411,35.55559
1997.6438356164383,35.55561
1997.6465753424657,35.55562
1997.6493150684933,35.553337
1997.6520547945206,35.558224
1997.654794520548,35.562855
1997.6575342465753,35.561165
1997.6602739726027,35.56072
1997.66301369863,35.568607
1997.6657534246576,35.56694
1997.668493150685,35.56575
1997.6712328767123,35.566727
1997.6739726027397,35.568417
1997.676712328767,35.570633
1997.6794520547944,35.571095
1997.682191780822,35.57411
1997.6849315068494,35.576378
1997.6876712328767,35.580696
1997.690410958904,35.57897
1997.6931506849314,35.580936
1997.695890410959,35.58419
1997.6986301369864,35.584446
1997.7013698630137,35.58078
1997.704109589041,35.583363
1997.7068493150684,35.592342
1997.7095890410958,35.591595
1997.7123287671234,35.594845
1997.7150684931507,35.598392
1997.717808219178,35.609257
1997.7205479452055,35.618862
1997.7232876712328,35.613777
1997.7260273972602,35.618195
1997.7287671232878,35.63054
1997.731506849315,35.62944
1997.7342465753425,35.629402
1997.7369863013698,35.639717
1997.7397260273972,35.650333
1997.7424657534248,35.662766
1997.7452054794521,35.67922
1997.7479452054795,35.684727
1997.7506849315068,35.699963
1997.7534246575342,35.715694
1997.7561643835616,35.714924
1997.7589041095891,35.717426
1997.7616438356165,35.724648
1997.7643835616439,35.73335
1997.7671232876712,35.737976
1997.7698630136986,35.735695
1997.772602739726,35.73586
1997.7753424657535,35.74634
